央视频道,#genre#
CCTV-1综合,http://192.168.11.2:4000/udp/239.254.200.45:8008$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228146/index.m3u8$通用
CCTV-2财经,http://192.168.11.2:4000/udp/239.254.200.158:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228118/index.m3u8$通用
CCTV-3综艺,http://192.168.11.2:4000/udp/239.254.201.152:7205$电信一#http://192.168.11.2:4000/udp/239.254.200.13:6000$电信二#http://ott.js.chinamobile.com/TVOD/3/224/3221228188/index.m3u8$通用
CCTV-4中文国际,http://192.168.11.2:4000/udp/239.254.200.190:6307$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228156/index.m3u8$通用
CCTV-5体育,http://192.168.11.2:4000/udp/239.254.201.153:7206$电信一#http://192.168.11.2:4000/udp/239.254.200.14:6000$电信二#http://ott.js.chinamobile.com/TVOD/3/224/3221228082/index.m3u8$通用
CCTV-6电影,http://192.168.11.2:4000/udp/239.254.201.154:7207$电信一#http://192.168.11.2:4000/udp/239.254.200.15:6000$电信二#http://ott.js.chinamobile.com/TVOD/3/224/3221228185/index.m3u8$通用
CCTV-7国防军事,http://192.168.11.2:4000/udp/239.254.200.159:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227642/index.m3u8$通用
CCTV-8电视剧,http://192.168.11.2:4000/udp/239.254.201.155:7208$电信一#http://192.168.11.2:4000/udp/239.254.200.16:6000$电信二#http://ott.js.chinamobile.com/TVOD/3/224/3221228079/index.m3u8$通用
CCTV-9记录,http://192.168.11.2:4000/udp/239.254.200.59:8112$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227614/index.m3u8$通用
CCTV-10科教,http://192.168.11.2:4000/udp/239.254.200.160:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228078/index.m3u8$通用
CCTV-11戏曲,http://192.168.11.2:4000/udp/239.254.201.123:8120$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227720/index.m3u8$通用
CCTV-12社会与法,http://192.168.11.2:4000/udp/239.254.200.161:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227655/index.m3u8$通用
CCTV-13新闻,http://192.168.11.2:4000/udp/239.254.200.9:8264$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228224/index.m3u8$通用
CCTV-14少儿,http://192.168.11.2:4000/udp/239.254.200.162:6000$电信#http://ott.js.chinamobile.com/PLTV/3/224/3221227656/index.m3u8$通用
CCTV-15音乐,http://192.168.11.2:4000/udp/239.254.201.124:8136$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227538/index.m3u8$通用
CCTV-16奥林匹克,http://192.168.11.2:4000/udp/239.254.201.150:6345$电信一#http://192.168.11.2:4000/udp/239.254.200.7:6346$电信二#http://ott.js.chinamobile.com/TVOD/3/224/3221228112/index.m3u8$通用
CCTV-17农业农村,http://192.168.11.2:4000/udp/239.254.201.120:8144$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227726/index.m3u8$通用
CCTV-5+体育赛视,http://192.168.11.2:4000/rtp/239.254.200.46:8004$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228114/index.m3u8$通用
CETV-1,http://192.168.11.2:4000/udp/239.254.200.225:6259$电信#http://ott.js.chinamobile.com/PLTV/3/224/3221227560/index.m3u8$通用
CETV-2,http://192.168.11.2:4000/udp/239.254.200.226:6260$电信#http://ott.js.chinamobile.com/PLTV/3/224/3221227607/index.m3u8$通用
CETV-4,http://192.168.11.2:4000/udp/239.254.200.227:6261$电信#http://ott.js.chinamobile.com/PLTV/3/224/3221227657/index.m3u8$通用
河北频道,#genre#
河北卫视,http://192.168.11.2:4000/udp/239.254.200.174:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228106/index.m3u8$通用
河北经济生活,http://192.168.11.2:4000/udp/239.254.200.18:6000$电信
河北都市,http://192.168.11.2:4000/udp/239.254.200.19:6000$电信
河北影视剧,http://192.168.11.2:4000/udp/239.254.200.20:6000$电信
河北少儿科教,http://192.168.11.2:4000/udp/239.254.200.21:6000$电信
河北公共,http://192.168.11.2:4000/udp/239.254.200.22:6000$电信
河北农民,http://192.168.11.2:4000/udp/239.254.200.23:6000$电信
睛彩河北,http://192.168.11.2:4000/udp/239.254.200.27:6000$电信
河北杂技频道,http://192.168.11.2:4000/udp/239.254.201.139:7203$电信
秦皇岛新闻综合,http://192.168.11.2:4000/udp/239.254.200.39:6000$电信
秦皇岛公共,http://192.168.11.2:4000/udp/239.254.200.40:6000$电信
秦皇岛影视,http://192.168.11.2:4000/udp/239.254.200.41:6000$电信
昌黎电视,http://192.168.11.2:4000/udp/239.254.201.61:5230$电信
抚宁电视,http://192.168.11.2:4000/rtp/239.254.201.213:5232$电信
卢龙电视,http://192.168.11.2:4000/rtp/239.254.201.216:5233$电信

卫视频道,#genre#
湖南卫视,http://192.168.11.2:4000/udp/239.254.200.48:8012$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228227/index.m3u8$通用
浙江卫视,http://192.168.11.2:4000/udp/239.254.200.53:8036$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228147/index.m3u8$通用
江苏卫视,http://192.168.11.2:4000/udp/239.254.200.51:8028$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228097/index.m3u8$通用
安徽卫视,http://192.168.11.2:4000/udp/239.254.200.163:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228153/index.m3u8$通用
东南卫视,http://192.168.11.2:4000/udp/239.254.201.13:6291$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227553/index.m3u8$通用
北京卫视,http://192.168.11.2:4000/udp/239.254.200.47:8024$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228115/index.m3u8$通用
天津卫视,http://192.168.11.2:4000/udp/239.254.200.54:1234$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228239/index.m3u8$通用
辽宁卫视,http://192.168.11.2:4000/udp/239.254.200.57:8056$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228162/index.m3u8$通用
山东卫视,http://192.168.11.2:4000/udp/239.254.200.55:8052$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228124/index.m3u8$通用
云南卫视,http://192.168.11.2:4000/udp/239.254.200.68:8108$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228169/index.m3u8$通用
河南卫视,http://192.168.11.2:4000/udp/239.254.201.16:7174$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228221/index.m3u8$通用
黑龙江卫视,http://192.168.11.2:4000/udp/239.254.200.49:8016$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228233/index.m3u8$通用
四川卫视,http://192.168.11.2:4000/udp/239.254.200.202:6325$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227556/index.m3u8$通用
江西卫视,http://192.168.11.2:4000/udp/239.254.201.12:6290$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228109/index.m3u8$通用
贵州卫视,http://192.168.11.2:4000/udp/239.254.201.20:6315$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228136/index.m3u8$通用
深圳卫视,http://192.168.11.2:4000/udp/239.254.200.50:8020$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228236/index.m3u8$通用
湖北卫视,http://192.168.11.2:4000/udp/239.254.200.164:6000$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228159/index.m3u8$通用
东方卫视,http://192.168.11.2:4000/udp/239.254.200.52:8032$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221228150/index.m3u8$通用
重庆卫视,http://192.168.11.2:4000/udp/239.254.200.203:6323$电信#http://ott.js.chinamobile.com/TVOD/3/224/3221227729/index.m3u8$通用
